iter	Passed	Remaining
421	2482	3400
422	2486	3391
423	2491	3385
424	2495	3376
425	2499	3368
426	2504	3360
427	2509	3354
428	2513	3346
429	2518	3338
430	2523	3331
431	2529	3325
432	2533	3317
433	2539	3311
434	2543	3303
435	2547	3295
436	2552	3289
437	2557	3281
438	2561	3273
439	2566	3265
440	2572	3260
441	2576	3252
442	2579	3243
443	2586	3238
444	2589	3230
445	2593	3222
446	2599	3216
447	2605	3209
448	2609	3201
449	2615	3196
450	2619	3189
451	2623	3181
452	2627	3173
453	2633	3166
454	2637	3159
455	2641	3151
456	2646	3144
457	2651	3137
458	2655	3129
459	2659	3121
460	2665	3116
461	2669	3108
462	2673	3100
463	2679	3095
464	2683	3087
465	2687	3080
466	2693	3073
467	2698	3068
468	2703	3061
469	2710	3056
470	2715	3050
471	2720	3043
472	2725	3037
473	2730	3029
474	2735	3023
475	2740	3017
476	2746	3010
477	2750	3004
478	2757	2999
479	2763	2993
480	2767	2986
481	2774	2982
482	2779	2975
483	2784	2968
484	2791	2963
485	2795	2957
486	2800	2950
487	2806	2944
488	2810	2936
489	2814	2929
490	2820	2923
491	2824	2916
492	2828	2908
493	2833	2901
494	2838	2895
495	2842	2888
496	2846	2881
497	2854	2877
498	2859	2871
499	2864	2864
500	2871	2859
501	2876	2853
502	2883	2848
503	2889	2843
504	2894	2836
505	2900	2832
506	2905	2825
507	2910	2818
508	2915	2812
509	2920	2805
510	2924	2798
511	2929	2792
512	2935	2786
513	2939	2779
514	2945	2774
515	2951	2768
516	2956	2762
517	2964	2758
518	2968	2751
519	2973	2744
520	2980	2740
521	2985	2733
522	2990	2727
523	2995	2720
524	2999	2713
525	3003	2706
526	3009	2701
527	3013	2694
528	3017	2686
529	3022	2679
530	3027	2674
531	3032	2667
532	3036	2660
533	3043	2655
534	3047	2649
535	3052	2642
536	3059	2637
537	3063	2630
538	3067	2623
539	3073	2617
540	3077	2610
541	3080	2603
542	3086	2598
543	3091	2591
544	3095	2584
545	3098	2576
546	3103	2570
547	3107	2563
548	3111	2556
549	3115	2549
550	3122	2544
551	3126	2537
552	3130	2530
553	3136	2525
554	3140	2518
555	3145	2511
556	3151	2506
557	3156	2500
558	3159	2492
559	3164	2486
560	3169	2479
561	3172	2472
562	3176	2465
563	3182	2459
564	3186	2453
565	3190	2446
566	3194	2439
567	3199	2433
568	3203	2426
569	3208	2420
570	3214	2414
571	3218	2408
572	3222	2401
573	3226	2394
574	3232	2389
575	3236	2382
576	3240	2375
577	3245	2369
578	3249	2362
579	3253	2356
580	3257	2349
581	3262	2343
582	3266	2336
583	3270	2329
584	3276	2324
585	3281	2318
586	3285	2311
587	3291	2306
588	3296	2300
589	3301	2294
590	3307	2289
591	3313	2283
592	3318	2277
593	3324	2272
594	3329	2266
595	3334	2260
596	3341	2255
597	3345	2249
598	3350	2242
599	3357	2238
600	3361	2231
601	3366	2225
602	3372	2220
603	3377	2214
604	3382	2208
605	3388	2203
606	3393	2196
607	3397	2190
608	3405	2186
609	3410	2180
610	3416	2174
611	3422	2169
612	3427	2163
613	3434	2158
614	3439	2152
615	3444	2146
616	3451	2142
617	3456	2136
618	3461	2130
619	3468	2126
620	3474	2120
621	3481	2115
622	3486	2109
623	3492	2104
624	3499	2099
625	3504	2093
626	3508	2087
627	3515	2082
628	3519	2076
629	3524	2069
630	3529	2064
631	3534	2057
632	3538	2051
633	3542	2045
634	3549	2040
635	3554	2034
636	3560	2029
637	3566	2023
638	3570	2017
639	3577	2012
640	3582	2006
641	3586	2000
642	3594	1995
643	3598	1989
644	3603	1983
645	3610	1978
646	3614	1971
647	3618	1965
648	3624	1960
649	3628	1953
650	3632	1947
651	3638	1941
652	3644	1936
653	3649	1930
654	3655	1925
655	3661	1919
656	3666	1913
657	3672	1909
658	3678	1903
659	3682	1897
660	3688	1891
661	3693	1885
662	3697	1879
663	3703	1873
664	3707	1867
665	3711	1861
666	3715	1854
667	3720	1848
668	3724	1842
669	3727	1836
670	3733	1830
671	3739	1825
672	3743	1818
673	3748	1813
674	3754	1807
675	3759	1801
676	3765	1796
677	3770	1790
678	3774	1784
679	3780	1779
680	3785	1773
681	3789	1767
682	3795	1761
683	3799	1755
684	3803	1748
685	3806	1742
686	3813	1737
687	3817	1731
688	3821	1724
689	3827	1719
690	3832	1713
691	3836	1707
692	3844	1703
693	3849	1697
694	3854	1691
695	3860	1686
696	3865	1680
697	3869	1673
698	3874	1668
699	3880	1662
700	3883	1656
701	3889	1650
702	3893	1644
703	3896	1638
704	3900	1632
705	3905	1626
706	3910	1620
707	3914	1614
708	3919	1608
709	3924	1603
710	3928	1596
711	3932	1590
712	3938	1585
713	3943	1579
714	3947	1573
715	3952	1567
716	3957	1562
717	3961	1555
718	3965	1549
719	3972	1544
720	3976	1538
721	3979	1532
722	3985	1526
723	3989	1520
724	3993	1514
725	3998	1509
726	4005	1503
727	4009	1497
728	4016	1492
729	4021	1487
730	4025	1481
731	4035	1477
732	4039	1471
733	4047	1466
734	4053	1461
735	4058	1455
736	4064	1450
737	4069	1444
738	4074	1438
739	4081	1434
740	4086	1428
741	4093	1423
742	4098	1417
743	4103	1411
744	4109	1406
745	4115	1401
746	4120	1395
747	4126	1390
748	4132	1384
749	4140	1380
750	4146	1374
751	4150	1368
752	4157	1363
753	4163	1358
754	4167	1352
755	4174	1347
756	4178	1341
757	4183	1335
758	4188	1330
759	4193	1324
760	4197	1318
761	4202	1312
762	4208	1307
763	4212	1301
764	4216	1295
765	4223	1290
766	4227	1284
767	4231	1278
768	4238	1273
769	4242	1267
770	4246	1261
771	4252	1255
772	4257	1250
773	4261	1244
774	4269	1239
775	4273	1233
776	4277	1227
777	4283	1222
778	4288	1216
779	4292	1210
780	4299	1205
781	4303	1199
782	4308	1193
783	4314	1188
784	4319	1182
785	4323	1177
786	4328	1171
787	4333	1165
788	4337	1159
789	4341	1153
790	4347	1148
791	4350	1142
792	4355	1137
793	4361	1131
794	4366	1125
795	4371	1120
796	4377	1114
797	4381	1109
798	4386	1103
799	4390	1097
800	4396	1092
801	4401	1086
802	4408	1081
803	4414	1076
804	4419	1070
805	4425	1065
806	4430	1059
807	4435	1054
808	4441	1048
809	4446	1043
810	4452	1037
811	4459	1032
812	4464	1026
813	4470	1021
814	4476	1016
815	4481	1010
816	4488	1005
817	4492	999
818	4497	993
819	4504	988
820	4508	982
821	4513	977
822	4519	972
823	4525	966
824	4529	960
825	4535	955
826	4540	949
827	4544	944
828	4551	938
829	4556	933
830	4562	927
831	4568	922
832	4573	916
833	4578	911
834	4584	905
835	4588	900
836	4593	894
837	4598	889
838	4603	883
839	4607	877
840	4614	872
841	4619	866
842	4624	861
843	4630	855
844	4635	850
845	4640	844
846	4646	839
847	4651	833
848	4655	828
849	4661	822
850	4666	816
851	4670	811
852	4676	805
853	4680	800
854	4684	794
855	4688	788
856	4693	783
857	4697	777
858	4701	771
859	4707	766
860	4712	760
861	4716	755
862	4721	749
863	4727	744
864	4732	738
865	4737	733
866	4743	727
867	4747	721
868	4752	716
869	4758	711
870	4763	705
871	4767	699
872	4773	694
873	4778	688
874	4782	683
875	4787	677
876	4791	671
877	4795	666
878	4801	660
879	4805	655
880	4809	649
881	4815	644
882	4821	638
883	4826	633
884	4831	627
885	4836	622
886	4840	616
887	4844	611
888	4850	605
889	4854	599
890	4858	594
891	4863	588
892	4867	583
893	4871	577
894	4875	571
895	4880	566
896	4885	560
897	4889	555
898	4895	549
899	4899	544
900	4903	538
901	4908	533
902	4914	527
903	4918	522
904	4922	516
905	4927	511
906	4931	505
907	4935	500
908	4939	494
909	4943	488
910	4948	483
911	4951	477
912	4955	472
913	4961	466
914	4965	461
915	4969	455
916	4976	450
917	4980	444
918	4984	439
919	4990	433
920	4994	428
921	4998	422
922	5002	417
923	5008	411
924	5013	406
925	5018	401
926	5025	395
927	5030	390
928	5035	384
929	5040	379
930	5045	373
931	5050	368
932	5056	363
933	5061	357
934	5067	352
935	5072	346
936	5077	341
937	5085	336
938	5090	330
939	5095	325
940	5101	319
941	5105	314
942	5109	308
943	5114	303
944	5120	297
945	5124	292
946	5128	287
947	5134	281
948	5138	276
949	5142	270
950	5149	265
951	5153	259
952	5157	254
953	5163	248
954	5168	243
955	5173	238
956	5179	232
957	5184	227
958	5188	221
959	5192	216
960	5198	210
961	5202	205
962	5206	200
963	5212	194
964	5216	189
965	5219	183
966	5224	178
967	5229	172
968	5234	167
969	5238	162
970	5244	156
971	5249	151
972	5254	145
973	5260	140
974	5265	135
975	5270	129
976	5276	124
977	5280	118
978	5285	113
979	5290	107
980	5294	102
981	5299	97
982	5304	91
983	5310	86
984	5314	80
985	5319	75
986	5325	70
987	5330	64
988	5335	59
989	5340	53
990	5345	48
991	5350	43
992	5356	37
993	5360	32
994	5364	26
995	5369	21
996	5374	16
997	5377	10
998	5382	5
999	5387	0
