iter	RMSE
528	142873.2731
529	142761.6511
530	142668.2206
531	142590.5408
532	142579.1212
533	142548.7684
534	142420.1371
535	142296.4313
536	142153.5266
537	141993.9465
538	141942.1213
539	141860.8443
540	141849.7952
541	141792.3839
542	141613.9772
543	141603.3281
544	141505.6304
545	141374.0308
546	141295.9685
547	141284.5795
548	141165.7764
549	141093.9878
550	140912.8355
551	140819.2436
552	140757.5313
553	140747.5019
554	140632.036
555	140512.7414
556	140451.2912
557	140412.5413
558	140388.8379
559	140297.9863
560	140288.2103
561	140278.8045
562	140269.7539
563	140230.7975
564	140222.0735
565	140117.8356
566	140109.4374
567	139951.6325
568	139875.564
569	139836.3645
570	139828.2629
571	139818.9363
572	139811.3552
573	139773.7033
574	139764.9752
575	139719.9873
576	139712.8741
577	139600.1488
578	139485.6814
579	139439.6858
580	139431.4774
581	139424.8004
582	139418.3727
583	139271.5105
584	139064.9275
585	139057.4113
586	138994.8256
587	138926.6265
588	138881.519
589	138807.5093
590	138726.1443
591	138676.2432
592	138650.5488
593	138569.7793
594	138479.6471
595	138339.201
596	138333.1834
597	138212.8615
598	138175.9508
599	138086.9863
600	138017.6772
601	137938.1094
602	137870.9606
603	137787.3902
604	137728.5285
605	137655.4496
606	137601.1457
607	137463.6823
608	137381.4278
609	137284.0815
610	137278.7785
611	137189.2634
612	137140.6827
613	137047.258
614	136899.3195
615	136805.8326
616	136718.1595
617	136606.5654
618	136533.5039
619	136479.8514
620	136425.1869
621	136392.9852
622	136293.7683
623	136155.7221
624	136099.938
625	136071.1634
626	136012.6567
627	135908.8247
628	135789.9643
629	135656.8656
630	135554.0068
631	135548.0558
632	135475.643
633	135434.6527
634	135297.7578
635	135212.8719
636	135173.7423
637	135128.5276
638	135106.3548
639	134967.917
640	134929.1188
641	134841.152
642	134797.1402
643	134765.5429
644	134713.1894
645	134634.1825
646	134536.6025
647	134476.2756
648	134416.69
649	134351.4959
650	134268.9028
651	134169.1903
652	134163.23
653	134082.4977
654	134030.8296
655	133942.2702
656	133858.9925
657	133781.5791
658	133689.5031
659	133654.972
660	133649.8632
661	133586.6853
662	133522.0403
663	133496.0078
664	133370.4544
665	133328.2922
666	133264.935
667	133194.3161
668	133172.0932
669	133053.085
670	132977.0782
671	132866.6471
672	132789.6756
673	132707.7884
674	132633.2231
675	132534.3365
676	132436.4846
677	132350.7644
678	132211.4846
679	132173.1386
680	132107.6519
681	132015.5942
682	132009.9026
683	131963.4877
684	131958.5411
685	131856.4576
686	131796.4281
687	131720.0992
688	131665.5752
689	131614.7452
690	131573.5952
691	131443.8221
692	131428.6675
693	131395.4856
694	131375.1473
695	131313.7828
696	131290.8079
697	131220.4574
698	131091.6253
699	131008.1606
700	130980.8619
701	130934.7675
702	130871.0575
703	130841.7875
704	130818.0711
705	130681.5536
706	130602.3098
707	130541.5242
708	130506.2608
709	130493.8954
710	130391.2954
711	130334.8387
712	130330.2873
713	130273.5385
714	130240.1667
715	130221.2303
716	130132.9805
717	130087.2834
718	130037.6862
719	130019.9573
720	130009.9799
721	129986.0498
722	129948.4746
723	129886.2695
724	129820.4018
725	129781.0019
726	129713.7864
727	129659.9552
728	129640.7491
729	129603.3879
730	129499.6715
731	129406.3658
732	129287.7784
733	129265.513
734	129218.2414
735	129113.0018
736	129062.9651
737	129053.3739
738	128968.7271
739	128958.2483
740	128922.3869
741	128871.4747
742	128780.1526
743	128672.7467
744	128568.9417
745	128509.538
746	128413.2196
747	128272.2389
748	128214.852
749	128122.3935
750	128072.9895
751	127985.2217
752	127935.1054
753	127887.992
754	127794.6129
755	127762.2207
756	127717.3513
757	127662.7444
758	127602.2844
759	127539.6154
760	127498.2432
761	127494.0171
762	127459.2557
763	127427.9401
764	127404.1714
765	127365.335
766	127324.5121
767	127320.144
768	127182.5163
769	127102.6272
770	127007.8274
771	126965.4495
772	126931.1191
773	126888.6098
774	126823.4442
775	126819.1929
776	126785.0103
777	126671.5095
778	126632.9375
779	126555.2355
780	126551.3396
781	126514.2196
782	126433.4022
783	126368.9124
784	126364.8159
785	126327.3033
786	126313.7164
787	126235.4575
788	126160.8144
789	126120.1462
790	126070.0939
791	126037.4628
792	125992.5811
793	125988.666
794	125943.7916
795	125897.398
796	125867.2698
797	125807.9898
798	125774.4844
799	125766.0767
800	125700.3603
801	125694.328
802	125651.3271
803	125590.7612
804	125558.7397
805	125497.6673
806	125447.1904
807	125408.8131
808	125377.0854
809	125326.4024
810	125298.0376
811	125239.6255
812	125195.12
813	125148.5253
814	125101.7874
815	125025.7146
816	125006.0508
817	124972.3517
818	124948.7611
819	124881.8642
820	124869.9677
821	124824.3506
822	124782.5681
823	124771.3835
824	124767.757
825	124653.1893
826	124634.5255
827	124605.6892
828	124599.2973
829	124567.2143
830	124536.4441
831	124506.3368
832	124439.1384
833	124381.6672
834	124343.7039
835	124328.7377
836	124301.7618
837	124275.6533
838	124198.1631
839	124189.3364
840	124147.2428
841	124099.6227
842	124038.2304
843	123987.67
844	123941.2127
845	123901.3224
846	123852.4085
847	123795.939
848	123725.3769
849	123672.6292
850	123608.1658
851	123563.9758
852	123533.0951
853	123507.7073
854	123478.0882
855	123414.4455
856	123328.3791
857	123281.2389
858	123265.7393
859	123216.561
860	123201.56
861	123155.3834
862	123110.2019
863	123102.331
864	122983.1906
865	122935.5108
866	122865.7586
867	122845.6758
868	122798.259
869	122703.8316
870	122650.4019
871	122646.7481
872	122643.6301
873	122572.8974
874	122518.6526
875	122489.7701
876	122460.0069
877	122441.7425
878	122410.318
879	122337.7324
880	122271.3039
881	122237.9039
882	122165.6587
883	122079.92
884	122076.8597
885	122073.4879
886	122053.2643
887	122021.1358
888	121973.9126
889	121945.1664
890	121942.3514
891	121894.59
892	121801.3617
893	121729.0398
894	121683.7162
895	121649.1282
896	121592.5821
897	121545.0857
898	121462.0027
899	121416.4246
900	121387.9337
901	121326.7378
902	121298.7597
903	121264.0538
904	121225.9311
905	121222.7894
906	121162.5938
907	121098.789
908	121074.1614
909	121032.7618
910	121022.4443
911	120988.512
912	120974.9905
913	120912.6436
914	120874.3303
915	120833.0218
916	120818.3841
917	120768.1334
918	120741.8093
919	120715.8846
920	120671.8421
921	120626.7471
922	120612.9814
923	120590.5239
924	120532.0896
925	120470.2108
926	120460.6324
927	120427.6421
928	120384.5882
929	120318.9437
930	120259.7368
931	120203.2535
932	120171.0873
933	120144.3605
934	120113.0729
935	120096.0732
936	120084.6267
937	120038.3516
938	119979.7731
939	119951.2414
940	119926.0433
941	119851.0572
942	119791.7159
943	119788.1312
944	119726.5925
945	119693.8402
946	119658.9095
947	119623.4466
948	119588.386
949	119585.7118
950	119524.5591
951	119446.1375
952	119406.0479
953	119403.4279
954	119324.6172
955	119300.9406
956	119255.5795
957	119252.7117
958	119197.1134
959	119151.1812
960	119102.2596
961	119062.7936
962	119028.2386
963	119018.4893
964	119001.3753
965	118979.8067
966	118937.1028
967	118864.2526
968	118812.7276
969	118760.4091
970	118725.4025
971	118685.3629
972	118646.4881
973	118643.7422
974	118610.7005
975	118594.1379
976	118582.1101
977	118567.331
978	118549.2976
979	118509.5629
980	118479.2602
981	118427.8558
982	118424.8923
983	118373.6109
984	118299.3272
985	118224.0538
986	118170.9737
987	118121.8184
988	118119.0637
989	118116.8574
990	118080.6946
991	118024.1651
992	118021.7131
993	117975.5278
994	117973.1524
995	117930.6883
996	117897.7189
997	117866.0756
998	117840.9391
999	117798.2797
